sex,region,year,births
Женщины,Новгородская область,2016,3464
Женщины,Новгородская область,2017,3027
Женщины,Новгородская область,2018,2792
Женщины,Новгородская область,2019,2433
Женщины,Новгородская область,2020,2352
Женщины,Псковская область,2015,3450
Женщины,Псковская область,2016,3444
Женщины,Псковская область,2017,2969
Женщины,Псковская область,2018,2839
Женщины,Псковская область,2019,2624
Женщины,Псковская область,2020,2367
Женщины,Санкт-Петербург,2015,34224
Женщины,Санкт-Петербург,2016,35445
Женщины,Санкт-Петербург,2017,32248
Женщины,Санкт-Петербург,2018,31073
Женщины,Санкт-Петербург,2019,28553
Женщины,Санкт-Петербург,2020,26891
Женщины,Республика Адыгея,2015,2723
Женщины,Республика Адыгея,2016,2571
Женщины,Республика Адыгея,2017,2354
Женщины,Республика Адыгея,2018,2175
Женщины,Республика Адыгея,2019,1976
Женщины,Республика Адыгея,2020,2167
Женщины,Республика Калмыкия,2015,1801
Женщины,Республика Калмыкия,2016,1616
Женщины,Республика Калмыкия,2017,1461
Женщины,Республика Калмыкия,2018,1478
Женщины,Республика Калмыкия,2019,1384
Женщины,Республика Калмыкия,2020,1338
Женщины,Республика Крым,2015,11687
Женщины,Республика Крым,2016,11116
Женщины,Республика Крым,2017,10167
Женщины,Республика Крым,2018,9942
Женщины,Республика Крым,2019,9369
Женщины,Республика Крым,2020,9166
Женщины,Краснодарский край,2015,36055
Женщины,Краснодарский край,2016,35521
Женщины,Краснодарский край,2017,32740
Женщины,Краснодарский край,2018,31015
Женщины,Краснодарский край,2019,29645
Женщины,Краснодарский край,2020,28983
Женщины,Астраханская область,2015,7292
Женщины,Астраханская область,2016,6838
Женщины,Астраханская область,2017,5906
Женщины,Астраханская область,2018,5644
Женщины,Астраханская область,2019,5303
Женщины,Астраханская область,2020,5224
Женщины,Волгоградская область,2015,14135
Женщины,Волгоградская область,2016,13935
Женщины,Волгоградская область,2017,12196
Женщины,Волгоградская область,2018,11406
Женщины,Волгоградская область,2019,10205
Женщины,Волгоградская область,2020,9490
Женщины,Ростовская область,2015,24917
Женщины,Ростовская область,2016,23984
Женщины,Ростовская область,2017,21117
Женщины,Ростовская область,2018,19800
Женщины,Ростовская область,2019,18398
Женщины,Ростовская область,2020,17946
Женщины,Севастополь,2015,2706
Женщины,Севастополь,2016,2605
Женщины,Севастополь,2017,2322
Женщины,Севастополь,2018,2122
Женщины,Севастополь,2019,2116
Женщины,Севастополь,2020,2005
Женщины,Республика Дагестан,2015,26446
Женщины,Республика Дагестан,2016,25665
Женщины,Республика Дагестан,2017,24354
Женщины,Республика Дагестан,2018,23331
Женщины,Республика Дагестан,2019,22040
Женщины,Республика Дагестан,2020,22660
Женщины,Республика Ингушетия,2015,4120
Женщины,Республика Ингушетия,2016,3709
Женщины,Республика Ингушетия,2017,3829
Женщины,Республика Ингушетия,2018,3911
Женщины,Республика Ингушетия,2019,4007
Женщины,Республика Ингушетия,2020,3994
Женщины,Кабардино-Балкарская Республика,2015,6158
Женщины,Кабардино-Балкарская Республика,2016,5901
Женщины,Кабардино-Балкарская Республика,2017,5399
Женщины,Кабардино-Балкарская Республика,2018,5287
Женщины,Кабардино-Балкарская Республика,2019,4720
Женщины,Кабардино-Балкарская Республика,2020,5032
Женщины,Карачаево-Черкесская Республика,2015,2739
Женщины,Карачаево-Черкесская Республика,2016,2721
Женщины,Карачаево-Черкесская Республика,2017,2490
Женщины,Карачаево-Черкесская Республика,2018,2502
Женщины,Карачаево-Черкесская Республика,2019,2443
Женщины,Карачаево-Черкесская Республика,2020,2496
Женщины,Республика Северная Осетия — Алания,2015,4973
Женщины,Республика Северная Осетия — Алания,2016,4760
Женщины,Республика Северная Осетия — Алания,2017,4314
Женщины,Республика Северная Осетия — Алания,2018,4400
Женщины,Республика Северная Осетия — Алания,2019,4149
Женщины,Республика Северная Осетия — Алания,2020,4020
Женщины,Чеченская Республика,2015,15499
Женщины,Чеченская Республика,2016,14494
