region,year,births
Ростовская область,2018,41052
Ростовская область,2019,37730
Ростовская область,2020,36485
Севастополь,2015,5498
Севастополь,2016,5351
Севастополь,2017,4843
Севастополь,2018,4454
Севастополь,2019,4276
Севастополь,2020,4189
Республика Дагестан,2015,54867
Республика Дагестан,2016,52867
Республика Дагестан,2017,50174
Республика Дагестан,2018,48120
Республика Дагестан,2019,45977
Республика Дагестан,2020,47051
Республика Ингушетия,2015,8647
Республика Ингушетия,2016,7750
Республика Ингушетия,2017,7890
Республика Ингушетия,2018,8048
Республика Ингушетия,2019,8252
Республика Ингушетия,2020,8350
Кабардино-Балкарская Республика,2015,12596
Кабардино-Балкарская Республика,2016,12129
Кабардино-Балкарская Республика,2017,11117
Кабардино-Балкарская Республика,2018,10879
Кабардино-Балкарская Республика,2019,9935
Кабардино-Балкарская Республика,2020,10531
Карачаево-Черкесская Республика,2015,5776
Карачаево-Черкесская Республика,2016,5570
Карачаево-Черкесская Республика,2017,5120
Карачаево-Черкесская Республика,2018,4998
Карачаево-Черкесская Республика,2019,5050
Карачаево-Черкесская Республика,2020,5135
Республика Северная Осетия — Алания,2015,10261
Республика Северная Осетия — Алания,2016,9901
Республика Северная Осетия — Алания,2017,8985
Республика Северная Осетия — Алания,2018,9180
Республика Северная Осетия — Алания,2019,8575
Республика Северная Осетия — Алания,2020,8220
Чеченская Республика,2015,31868
Чеченская Республика,2016,29980
Чеченская Республика,2017,31355
Чеченская Республика,2018,29946
Чеченская Республика,2019,29813
Чеченская Республика,2020,29832
Ставропольский край,2015,36385
Ставропольский край,2016,36336
Ставропольский край,2017,32253
Ставропольский край,2018,30670
Ставропольский край,2019,27974
Ставропольский край,2020,27397
Республика Башкортостан,2015,59028
Республика Башкортостан,2016,55628
Республика Башкортостан,2017,49315
Республика Башкортостан,2018,47010
Республика Башкортостан,2019,41767
Республика Башкортостан,2020,41043
Республика Марий Эл,2015,9915
Республика Марий Эл,2016,9537
Республика Марий Эл,2017,8147
Республика Марий Эл,2018,7392
Республика Марий Эл,2019,6683
Республика Марий Эл,2020,6642
Республика Мордовия,2015,7867
Республика Мордовия,2016,7933
Республика Мордовия,2017,6860
Республика Мордовия,2018,6652
Республика Мордовия,2019,5948
Республика Мордовия,2020,5518
Республика Татарстан,2015,56598
Республика Татарстан,2016,55592
Республика Татарстан,2017,48298
Республика Татарстан,2018,46215
Республика Татарстан,2019,42668
Республика Татарстан,2020,41329
Удмуртская Республика,2015,22145
Удмуртская Республика,2016,20995
Удмуртская Республика,2017,17877
Удмуртская Республика,2018,16423
Удмуртская Республика,2019,14601
Удмуртская Республика,2020,14454
Чувашская Республика,2015,17133
Чувашская Республика,2016,16358
Чувашская Республика,2017,13952
Чувашская Республика,2018,13065
Чувашская Республика,2019,11624
Чувашская Республика,2020,11305
Пермский край,2015,38761
Пермский край,2016,37258
Пермский край,2017,31915
Пермский край,2018,29526
Пермский край,2019,26617
Пермский край,2020,25461
Кировская область,2015,16544
Кировская область,2016,16299
Кировская область,2017,13736
Кировская область,2018,12613
Кировская область,2019,11205
Кировская область,2020,10570
Нижегородская область,2015,40094
Нижегородская область,2016,38678
Нижегородская область,2017,34153
Нижегородская область,2018,32021
Нижегородская область,2019,28732
Нижегородская область,2020,27679
Оренбургская область,2015,28377
Оренбургская область,2016,26704
Оренбургская область,2017,22986
Оренбургская область,2018,21769
Оренбургская область,2019,19640
Оренбургская область,2020,18674
Пензенская область,2015,14471
Пензенская область,2016,13705
Пензенская область,2017,11922
Пензенская область,2018,11467
Пензенская область,2019,10320
Пензенская область,2020,9612
Самарская область,2015,40986
Самарская область,2016,40151
Самарская область,2017,34554
Самарская область,2018,33045
Самарская область,2019,29608
Самарская область,2020,27880
Саратовская область,2015,28647
Саратовская область,2016,27135
Саратовская область,2017,23537
Саратовская область,2018,22266
Саратовская область,2019,20147
Саратовская область,2020,18657
Ульяновская область,2015,15005
Ульяновская область,2016,14544
Ульяновская область,2017,12569
Ульяновская область,2018,11986
Ульяновская область,2019,10883
Ульяновская область,2020,10317
Курганская область,2015,11568
Курганская область,2016,10666
Курганская область,2017,9469
Курганская область,2018,8642
Курганская область,2019,7643
Курганская область,2020,7432
Свердловская область,2015,62232
Свердловская область,2016,59840
Свердловская область,2017,53386
Свердловская область,2018,50254
Свердловская область,2019,46039
Свердловская область,2020,43827
Ханты-Мансийский автономный округ — Югра,2015,26864
Ханты-Мансийский автономный округ — Югра,2016,25639
Ханты-Мансийский автономный округ — Югра,2017,23299
Ханты-Мансийский автономный округ — Югра,2018,22538
Ханты-Мансийский автономный округ — Югра,2019,20719
Ханты-Мансийский автономный округ — Югра,2020,20598
Ямало-Ненецкий автономный округ,2015,8913
Ямало-Ненецкий автономный округ,2016,8251
Ямало-Ненецкий автономный округ,2017,7530
Ямало-Ненецкий автономный округ,2018,7214
Ямало-Ненецкий автономный округ,2019,6836
Ямало-Ненецкий автономный округ,2020,7037
Тюменская область,2015,24112
Тюменская область,2016,23269
Тюменская область,2017,21309
Тюменская область,2018,20717
Тюменская область,2019,19192
Тюменская область,2020,18871
Челябинская область,2015,48592
Челябинская область,2016,46649
Челябинская область,2017,40191
Челябинская область,2018,37692
Челябинская область,2019,34231
Челябинская область,2020,33090
Республика Алтай,2015,4023
Республика Алтай,2016,3895
Республика Алтай,2017,3438
Республика Алтай,2018,3347
Республика Алтай,2019,2984
Республика Алтай,2020,2933
Республика Тыва,2015,7492
Республика Тыва,2016,7372
Республика Тыва,2017,7009
Республика Тыва,2018,6537
Республика Тыва,2019,6046
Республика Тыва,2020,6654
Республика Хакасия,2015,7872
Республика Хакасия,2016,7597
Республика Хакасия,2017,6667
Республика Хакасия,2018,6207
Республика Хакасия,2019,5568
Республика Хакасия,2020,5366
Алтайский край,2015,30080
Алтайский край,2016,28734
Алтайский край,2017,25556
Алтайский край,2018,23408
Алтайский край,2019,21085
Алтайский край,2020,19840
Красноярский край,2015,41186
Красноярский край,2016,39828
Красноярский край,2017,35562
Красноярский край,2018,33527
Красноярский край,2019,30143
Красноярский край,2020,28998
Иркутская область,2015,36904
Иркутская область,2016,35579
Иркутская область,2017,32253
Иркутская область,2018,30847
Иркутская область,2019,28258
Иркутская область,2020,26948
Кемеровская область — Кузбасс,2015,33933
Кемеровская область — Кузбасс,2016,32704
Кемеровская область — Кузбасс,2017,28314
Кемеровская область — Кузбасс,2018,26540
Кемеровская область — Кузбасс,2019,23989
Кемеровская область — Кузбасс,2020,22601
Новосибирская область,2015,39078
Новосибирская область,2016,38185
Новосибирская область,2017,34448
Новосибирская область,2018,32673
Новосибирская область,2019,30023
Новосибирская область,2020,28859
Омская область,2015,28526
Омская область,2016,26310
Омская область,2017,22606
Омская область,2018,21314
Омская область,2019,19031
Омская область,2020,17882
Томская область,2015,14614
Томская область,2016,14206
Томская область,2017,12830
Томская область,2018,11785
Томская область,2019,10704
Томская область,2020,9928
Республика Бурятия,2015,16937
Республика Бурятия,2016,16109
Республика Бурятия,2017,14296
Республика Бурятия,2018,13909
Республика Бурятия,2019,12471
Республика Бурятия,2020,12682
Забайкальский край,2015,16744
Забайкальский край,2016,15763
Забайкальский край,2017,14382
Забайкальский край,2018,13546
Забайкальский край,2019,12547
Забайкальский край,2020,12435
Республика Саха (Якутия),2015,16345
Республика Саха (Якутия),2016,15352
Республика Саха (Якутия),2017,13996
Республика Саха (Якутия),2018,13191
Республика Саха (Якутия),2019,12817
Республика Саха (Якутия),2020,13097
Камчатский край,2015,4150
Камчатский край,2016,4057
Камчатский край,2017,3752
Камчатский край,2018,3417
Камчатский край,2019,3308
Камчатский край,2020,3248
Приморский край,2015,24494
